City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lebu,-37.6167,-73.65,14.52,76,100,4.26,CL,1667587491
84,cidreira,-30.1811,-50.2056,19.01,59,4,4.19,BR,1667587491
85,camana,-16.6228,-72.7111,19.75,70,6,4.05,PE,1667587492
86,kamyshlov,56.8428,62.7111,-0.52,97,100,6.47,RU,1667587492
87,mao,39.8885,4.2658,16.31,63,20,4.12,ES,1667587492
88,provideniya,64.3833,-173.3,-11.85,82,9,3.4,RU,1667587493
89,shaowu,27.3409,117.4831,14.0,97,100,0.73,CN,1667587493
90,samarai,-10.6167,150.6667,27.34,79,46,4.28,PG,1667587493
91,laguna,38.421,-121.4238,15.19,55,0,3.6,US,1667587494
92,mokobeng,-22.9965,27.6678,21.6,70,100,2.52,BW,1667587494
93,butaritari,3.0707,172.7902,26.36,74,99,3.44,KI,1667587494
94,tres arroyos,-38.3739,-60.2798,26.87,23,14,5.27,AR,1667587495
95,chute-aux-outardes,49.1168,-68.399,10.99,71,0,13.38,CA,1667587390
96,korla,41.7597,86.1469,7.25,41,53,1.65,CN,1667587495
97,kapaa,22.0752,-159.319,26.77,86,0,2.57,US,1667587495
98,dunedin,-45.8742,170.5036,10.45,56,27,2.24,NZ,1667587496
99,sabha,27.0377,14.4283,20.67,35,21,2.91,LY,1667587496
100,puerto ayora,-0.7393,-90.3518,23.98,74,30,5.69,EC,1667587497
101,nemuro,43.3236,145.575,4.29,63,2,5.73,JP,1667587498
102,comodoro rivadavia,-45.8667,-67.5,27.92,14,20,3.09,AR,1667587352
103,port elizabeth,-33.918,25.5701,21.17,88,20,4.63,ZA,1667587498
104,zelenoborsk,61.4669,64.0333,-6.33,96,48,2.89,RU,1667587499
105,fare,-16.7,-151.0167,24.83,82,100,11.16,PF,1667587499
106,sambava,-14.2667,50.1667,22.07,85,5,0.8,MG,1667587499
107,georgetown,5.4112,100.3354,25.96,96,40,1.54,MY,1667587485
108,kharian,32.8149,73.8636,21.22,42,100,2.06,PK,1667587500
109,boromo,11.75,-2.9333,29.09,22,11,2.35,BF,1667587500
110,namibe,-15.1961,12.1522,20.26,74,51,4.34,AO,1667587500
111,camargo,27.6667,-105.1667,25.13,15,0,7.05,MX,1667587501
112,srednekolymsk,67.45,153.6833,-26.21,92,99,0.41,RU,1667587501
113,kaduna,10.5222,7.4383,24.5,31,16,3.36,NG,1667587501
114,fernandina beach,30.6697,-81.4626,26.68,79,0,6.69,US,1667587502
115,santa ana,33.7456,-117.8678,20.91,42,0,1.79,US,1667587389
116,nanhai,30.1282,111.7784,13.48,71,100,3.06,CN,1667587502
117,kalmunai,7.4167,81.8167,24.28,94,100,4.04,LK,1667587503
118,aldan,58.6031,125.3894,-17.59,94,98,3.46,RU,1667587503
119,chulman,56.8479,124.9104,-25.89,100,96,0.71,RU,1667587504
120,baykit,61.67,96.37,-13.34,99,93,1.0,RU,1667587504
121,asau,46.4333,26.4,9.6,77,97,1.07,RO,1667587504
122,nioro,13.35,-15.75,27.91,27,32,0.29,GM,1667587505
123,tupik,54.4253,119.9327,-17.33,99,93,1.08,RU,1667587505
124,luderitz,-26.6481,15.1594,16.41,86,1,2.06,NA,1667587489
125,sur,22.5667,59.5289,26.36,53,100,3.75,OM,1667587505
126,chokurdakh,70.6333,147.9167,-27.67,95,99,0.84,RU,1667587506
127,polunochnoye,60.8697,60.4153,-9.6,96,100,2.4,RU,1667587506
128,kahului,20.8947,-156.47,28.87,66,20,6.26,US,1667587434
129,aripuana,-9.1667,-60.6333,33.95,29,100,1.66,BR,1667587507
130,okhotsk,59.3833,143.3,-3.42,65,100,7.39,RU,1667587507
131,ladson,32.9857,-80.1098,26.62,70,40,2.06,US,1667587339
132,sechura,-5.5569,-80.8222,24.74,55,98,6.19,PE,1667587507
133,castro,-24.7911,-50.0119,18.63,47,35,1.26,BR,1667587249
134,kimbe,-5.5502,150.1429,24.09,91,87,1.44,PG,1667587508
135,te anau,-45.4167,167.7167,6.77,83,22,1.59,NZ,1667587219
136,hearst,49.6835,-83.6665,3.14,89,100,3.6,CA,1667587508
137,jalu,29.0331,21.5482,19.29,48,0,1.1,LY,1667587509
138,rawson,-43.3002,-65.1023,29.84,16,96,12.58,AR,1667587509
139,urengoy,65.9667,78.3667,-12.19,99,94,2.7,RU,1667587509
140,tautira,-17.7333,-149.15,23.91,85,100,7.75,PF,1667587510
141,mataura,-46.1927,168.8643,8.66,66,97,4.63,NZ,1667587510
142,safaga,26.7292,33.9365,24.08,58,6,3.12,EG,1667587511
143,khonsa,27.0167,95.5667,15.13,83,4,1.55,IN,1667587511
144,port hedland,-20.3167,118.5667,20.03,68,4,3.09,AU,1667587484
145,tabou,4.423,-7.3528,25.99,83,100,2.66,CI,1667587512
146,sao felix do xingu,-6.6447,-51.995,27.52,75,98,1.21,BR,1667587512
147,iqaluit,63.7506,-68.5145,-6.15,63,75,4.12,CA,1667587512
148,otacilio costa,-27.4831,-50.1219,17.54,56,95,1.68,BR,1667587513
149,west bay,19.3667,-81.4167,31.15,69,20,6.69,KY,1667587513
150,victoria,22.2855,114.1577,22.4,84,99,5.36,HK,1667587485
151,port hardy,50.6996,-127.4199,5.1,100,100,2.57,CA,1667587514
152,olafsvik,64.8945,-23.7142,5.62,73,100,8.01,IS,1667587514
153,kununurra,-15.7667,128.7333,27.99,69,40,3.09,AU,1667587514
154,dhidhdhoo,6.8833,73.1,27.47,69,84,2.25,MV,1667587515
155,praxedis guerrero,31.3667,-106.0167,10.7,25,0,10.71,MX,1667587515
156,avera,33.194,-82.5271,26.42,42,0,4.16,US,1667587517
157,kruisfontein,-34.0033,24.7314,19.94,89,100,3.67,ZA,1667587517
158,oistins,13.0667,-59.5333,26.05,78,75,3.6,BB,1667587517
159,bandarbeyla,9.4942,50.8122,25.81,77,0,3.78,SO,1667587518
160,kenai,60.5544,-151.2583,-4.36,81,0,0.0,US,1667587518
161,plettenberg bay,-34.0527,23.3716,18.08,95,69,1.36,ZA,1667587518
162,chuy,-33.6971,-53.4616,18.03,55,0,5.16,UY,1667587519
163,gao,16.6362,1.637,27.21,19,82,3.47,ML,1667587519
164,talnakh,69.4865,88.3972,-10.7,93,100,5.14,RU,1667587520
165,yambio,4.5721,28.3955,20.98,90,10,1.75,SS,1667587520
166,shubarshi,48.5872,57.1869,0.53,70,100,3.22,KZ,1667587520
167,manturovo,58.3353,44.7619,0.3,80,100,2.7,RU,1667587521
168,port keats,-14.25,129.55,27.21,74,10,1.45,AU,1667587521
169,san vicente de canete,-13.0751,-76.3835,20.28,69,35,3.68,PE,1667587522
170,bira,49.0,132.4667,-5.19,59,100,1.73,RU,1667587522
171,molochnoye,59.2917,39.6787,-3.14,96,12,2.09,RU,1667587523
172,abasha,42.2096,42.2211,10.12,95,24,1.65,GE,1667587523
173,raudeberg,61.9875,5.1352,6.64,1,100,1.9,NO,1667587523
174,los llanos de aridane,28.6585,-17.9182,20.86,92,40,6.69,ES,1667587524
175,cabo san lucas,22.8909,-109.9124,29.23,53,10,2.31,MX,1667587513
176,pevek,69.7008,170.3133,-24.94,93,10,1.56,RU,1667587524
177,oyugis,-0.509,34.7358,18.32,79,100,1.25,KE,1667587525
178,hermanus,-34.4187,19.2345,19.33,89,60,5.18,ZA,1667587525
179,kodinsk,58.6881,99.1844,-5.61,98,98,0.53,RU,1667587525
180,tucuman,-26.8241,-65.2226,31.0,14,23,7.2,AR,1667587418
181,dehloran,32.6941,47.2679,19.09,24,0,1.17,IR,1667587526
182,si bun ruang,16.9667,102.2833,19.68,74,0,0.65,TH,1667587526
183,meulaboh,4.1363,96.1285,23.55,93,100,2.96,ID,1667587521
184,lere,10.387,8.5726,22.32,34,58,2.43,NG,1667587527
185,dikson,73.5069,80.5464,-4.91,96,100,2.05,RU,1667587527
186,hirara,24.8,125.2833,23.61,76,100,10.9,JP,1667587527
187,dobson,36.3957,-80.7226,23.42,57,0,2.57,US,1667587528
188,khandyga,62.6667,135.6,-20.11,100,98,0.47,RU,1667587528
189,bengkulu,-3.8004,102.2655,24.17,88,100,1.56,ID,1667587528
190,cape town,-33.9258,18.4232,19.5,83,20,7.2,ZA,1667587529
191,mahebourg,-20.4081,57.7,23.16,88,40,0.0,MU,1667587529
192,grindavik,63.8424,-22.4338,7.26,87,75,10.29,IS,1667587529
193,cerritos,33.8583,-118.0648,21.29,39,40,1.34,US,1667587530
194,kandrian,-6.2167,149.55,24.46,91,83,1.91,PG,1667587530
195,college,64.8569,-147.8028,-9.89,83,100,0.0,US,1667587442
196,kerema,-7.9631,145.7785,25.47,80,82,1.46,PG,1667587530
197,norman wells,65.282,-126.8329,-12.98,78,75,6.17,CA,1667587531
198,sosnogorsk,63.6023,53.8817,-12.8,98,50,1.14,RU,1667587531
199,roma,43.2128,-75.4557,22.51,46,0,3.09,US,1667587443
200,atar,20.5169,-13.0499,27.93,11,0,4.93,MR,1667587532
201,san policarpo,12.1791,125.5072,26.94,82,89,2.43,PH,1667587532
202,taonan,45.3333,122.7833,-1.84,44,9,3.45,CN,1667587532
203,birsk,55.4211,55.5428,-4.07,93,18,1.72,RU,1667587532
204,upernavik,72.7868,-56.1549,-1.65,92,100,5.43,GL,1667587533
205,kavaratti,10.5669,72.642,28.0,73,100,2.76,IN,1667587533
206,saint george,37.1041,-113.5841,10.24,38,0,1.54,US,1667587493
207,bintulu,3.1667,113.0333,23.23,100,40,3.13,MY,1667587534
208,tuktoyaktuk,69.4541,-133.0374,-11.0,79,100,6.17,CA,1667587529
209,kaitangata,-46.2817,169.8464,9.24,66,85,6.72,NZ,1667587534
210,pedernales,18.0384,-71.744,27.55,72,19,1.78,DO,1667587535
211,peniche,39.3558,-9.3811,14.6,78,72,7.2,PT,1667587535
212,tasiilaq,65.6145,-37.6368,-0.91,84,100,7.61,GL,1667587535
213,berlevag,70.8578,29.0864,5.0,81,75,2.57,NO,1667587536
214,henties bay,-22.116,14.2845,15.42,85,0,2.51,NA,1667587536
215,nuevo progreso,23.1667,-97.95,32.52,62,1,6.63,MX,1667587537
216,constitucion,-35.3333,-72.4167,14.9,65,100,3.46,CL,1667587537
217,berezovka,53.7214,25.4993,5.95,92,14,3.68,BY,1667587537
218,bambous virieux,-20.3428,57.7575,23.14,88,40,0.0,MU,1667587538
219,guerrero negro,27.9769,-114.0611,20.75,32,0,0.29,MX,1667587527
220,isiro,2.7739,27.616,19.32,99,100,1.59,CD,1667587538
221,lata,40.1629,-8.3327,12.82,74,83,0.94,PT,1667587539
222,katsuura,35.1333,140.3,15.26,69,100,8.33,JP,1667587503
223,salima,-13.7804,34.4587,27.52,50,14,1.47,MW,1667587539
224,hobyo,5.3505,48.5268,27.06,71,34,4.89,SO,1667587540
225,ambatondrazaka,-17.8333,48.4167,18.6,89,95,1.6,MG,1667587540
226,naryan-mar,67.6713,53.087,-2.76,93,100,4.6,RU,1667587540
227,zhanaozen,43.3,52.8,9.29,64,100,0.99,KZ,1667587541
228,farah,32.5,62.5,13.77,56,0,1.19,AF,1667587541
229,wanning,18.8003,110.3967,21.29,93,15,3.47,CN,1667587541
230,saint-francois,46.4154,3.9054,7.69,94,75,4.12,FR,1667587542
231,aksarka,66.5606,67.7975,-13.4,86,53,3.82,RU,1667587542
232,muisne,0.6,-80.0333,25.36,72,95,5.4,EC,1667587542
233,barrow,71.2906,-156.7887,-8.99,79,100,4.63,US,1667587543
234,arman,59.7,150.1667,-8.88,78,100,4.54,RU,1667587543
235,severo-kurilsk,50.6789,156.125,2.64,73,13,4.03,RU,1667587543
236,myaundzha,63.0494,147.1858,-19.34,99,92,1.38,RU,1667587544
237,omsukchan,62.5333,155.8,-14.0,97,100,2.75,RU,1667587544
238,villarrica,-25.75,-56.4333,24.73,55,100,1.65,PY,1667587544
239,stokmarknes,68.5646,14.9108,8.98,87,0,3.6,NO,1667587544
240,barcelona,41.3888,2.159,17.61,46,20,8.75,ES,1667587336
241,rio grande,-32.035,-52.0986,22.06,71,92,5.72,BR,1667587523
242,tiksi,71.6872,128.8694,-19.59,97,89,2.08,RU,1667587486
243,tessalit,20.1986,1.0114,26.56,17,0,3.93,ML,1667587545
244,kirakira,-10.4544,161.9205,25.56,83,24,1.79,SB,1667587545
245,grand baie,-20.0182,57.5802,23.26,76,100,1.34,MU,1667587546
246,coos bay,43.3665,-124.2179,14.99,93,100,7.2,US,1667587511
247,quibdo,5.6947,-76.6611,28.19,78,75,2.06,CO,1667587546
248,cherskiy,68.75,161.3,-23.55,84,11,2.8,RU,1667587547
249,ahuimanu,21.4447,-157.8378,28.12,80,20,2.57,US,1667587547
